rank_num,title,director,production_comp_name,importer_name,distributor_name,released_date,movie_type,movie_format,country,screen_num,total_sales,audience_num,seoul_total_sales,seoul_audience_num,genre,film_ratings,category
36,킹스맨: 퍼스트 에이전트,매튜 본,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-12-22 00:00:00,개봉영화,장편,미국,1061,10313351770,1029365,3109560890,306511,액션,청소년관람불가,일반영화
37,발신제한,김창주,(주)티피에스컴퍼니(주)씨제이이엔엠,,(주)씨제이이엔엠,2021-06-23 00:00:00,개봉영화,장편,한국,1010,9085720540,952386,1676960270,175048,스릴러,15세이상관람가,일반영화
38,랑종,반종 피산다나쿤,(주)노던크로스,,(주)쇼박스,2021-07-14 00:00:00,개봉영화,장편,한국,1403,8639576030,834338,2300792450,222583,공포(호러),청소년관람불가,일반영화
39,콰이어트 플레이스 2,존 크래신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2021-06-16 00:00:00,개봉영화,장편,미국,1137,8550116360,863339,2488591910,247107,스릴러,15세이상관람가,일반영화
40,보스 베이비 2,톰 맥그라스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-07-21 00:00:00,개봉영화,장편,미국,1343,8292685050,925238,1552488780,167011,애니메이션,전체관람가,일반영화
41,아바타: 물의 길,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14 00:00:00,개봉영화,장편,미국,2809,137647702899,10805065,35476705140,2623216,액션,12세이상관람가,일반영화
42,범죄도시2,이상용,주식회사 빅펀치픽쳐스(주)홍필름(주)비에이엔터테인먼트,,주식회사 에이비오엔터테인먼트플러스엠 엔터테인먼트,2022-05-18 00:00:00,개봉영화,장편,한국,2498,131293353478,12692959,29072759869,2755760,범죄,15세이상관람가,일반영화
43,탑건: 매버릭,조셉 코신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-22 00:00:00,개봉영화,장편,미국,1975,87855360975,8177446,25925045991,2309600,액션,12세이상관람가,일반영화
44,한산: 용의 출현,김한민,(주)빅스톤픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-27 00:00:00,개봉영화,장편,한국,2223,73700628377,7264934,15974849913,1513672,액션,12세이상관람가,일반영화
45,공조2: 인터내셔날,이석훈,(주)제이케이필름(주)씨제이이엔엠,,(주)씨제이이엔엠,2022-09-07 00:00:00,개봉영화,장편,한국,2389,70884583586,6979319,15028120901,1444987,액션,15세이상관람가,일반영화
